Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0001,$9.02 ,1,Dist,,,,,35.00,,,,,,,,,,,,,,368,32
Dist_0002,$4.54 ,1,Dist,600,5,0,96%,35.00,,,,,,,,,,,,,,368,96
Dist_0003,$7.55 ,1,Dist,150,5,0,96%,35.00,,,,,,,,,,,,,,368,160
Dist_0004,$8.55 ,1,Dist,,,,,35.00,,,,,,,,,,,,,,368,224
Dist_0005,$4.01 ,1,Dist,300,5,0,96%,35.00,,,,,,,,,,,,,,368,288
Dist_0006,$4.02 ,1,Dist,90,5,0,96%,35.00,,,,,,,,,,,,,,368,352
Dist_0007,$3.96 ,1,Dist,30,5,0,96%,35.00,,,,,,,,,,,,,,368,416
Dist_0008,$2.57 ,0,Dist,420,2,0,96%,14.00,,,,,,,,,,,,,,512,32
Dist_0009,$2.16 ,0,Dist,300,3,0,96%,14.00,,,,,,,,,,,,,,512,96
Dist_0010,$1.05 ,0,Dist,900,5,0,96%,0.00,,,,,,,,,,,,,,512,160
Dist_0011,$7.37 ,0,Dist,210,5,0,96%,0.00,,,,,,,,,,,,,,512,224
Manuf_0001,$9.70 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,32
Manuf_0002,$10.13 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,96
Manuf_0003,$7.37 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,160
Manuf_0004,$5.26 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,224
Manuf_0005,$5.85 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,288
Manuf_0006,$6.30 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,352
Manuf_0007,$5.48 ,2,Manuf,,,,,35.00,,,,,,,,,,,,,,224,416
Part_0001,$26.30 ,3,Part,,,,,90.00,,,,,,,,,,,,,,48,32
Part_0002,$27.92 ,3,Part,,,,,120.00,,,,,,,,,,,,,,48,96
Part_0003,$34.56 ,3,Part,,,,,120.00,,,,,,,,,,,,,,48,160
Part_0004,$106.34 ,3,Part,,,,,0.00,,,,,,,,,,,,,,48,224
