Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition,
Dist_0001,$2.47 ,2,Dist,,,,,1,,,,,,,,,,,,,,288,200,
Manuf_0001,$0.87 ,3,Manuf,,,,,1,,,,,,,,,,,,,,176,125,
Manuf_0002,$2.74 ,1,Manuf,,,,,2.05,0.80,1,25%,2,50%,3,20%,4,5%,,,,,416,275,
Manuf_0003,$2.39 ,1,Manuf,,,,,2.05,0.80,1,25%,2,50%,3,20%,4,5%,,,,,416,275,
Manuf_0004,$1.59 ,1,Manuf,,,,,2.05,0.80,1,25%,2,50%,3,20%,4,5%,,,,,416,275,
Manuf_0005,$2.87 ,1,Manuf,,,,,2.05,0.80,1,25%,2,50%,3,20%,4,5%,,,,,416,275,
Part_0001,$0.80 ,4,Part,,,,,38.00,4.58,35,60%,40,30%,50,10%,,,,,,,48,50,
Part_0002,$1.24 ,4,Part,,,,,34.55,1.69,32,20%,34,25%,35,30%,36,20%,39,5%,,,48,50,
Part_0003,$1.20 ,4,Part,,,,,14,,,,,,,,,,,,,,48,50,
Part_0004,$0.85 ,4,Part,,,,,33.75,2.17,30,25%,35,75%,,,,,,,,,48,50,
Part_0005,$0.83 ,4,Part,,,,,33.75,2.17,30,25%,35,75%,,,,,,,,,48,50,
Part_0006,$1.19 ,4,Part,,,,,12,,,,,,,,,,,,,,48,50,
Part_0007,$1.03 ,2,Part,,,,,11.75,4.82,,,,,,,,,,,,,288,200,
Part_0008,$14.01 ,2,Part,,,,,35,4.23,,,,,,,,,,,,,288,200,
Part_0009,$1.07 ,2,Part,,,,,10,,,,,,,,,,,,,,288,200,
Part_0010,$0.83 ,2,Part,,,,,36.00,5.15,30,25%,35,50%,40,5%,45,20%,,,,,288,200,
Part_0011,$1.27 ,2,Part,,,,,10,,,,,,,,,,,,,,288,200,
Part_0012,$17.97 ,2,Part,,,,,40.2,6.17,,,,,,,,,,,,,288,200,
Part_0013,$0.88 ,2,Part,,,,,10,,,,,,,,,,,,,,288,200,
Retail_0001,$1.19 ,0,Retail,353.00,395.78,2,98%,5.1,0.3,,,,,,,,,,,,,544,350,395.78
Retail_0002,$1.45 ,0,Retail,482.00,450.28,2,98%,3,,,,,,,,,,,,,,544,350,
Retail_0003,$1.58 ,0,Retail,3750.00,2573.63,2,98%,2,,,,,,,,,,,,,,544,350,
Retail_0004,$2.40 ,0,Retail,4637.00,3043.73,2,98%,3,,,,,,,,,,,,,,544,350,
Retail_0005,$1.44 ,0,Retail,435.00,458.75,2,98%,5.1,0.3,,,,,,,,,,,,,544,350,
Retail_0006,$1.25 ,0,Retail,367.00,367.70,2,98%,5.1,0.3,,,,,,,,,,,,,544,350,
Retail_0007,$1.59 ,0,Retail,2793.00,2048.39,2,98%,4.1,0.3,,,,,,,,,,,,,544,350,
Retail_0008,$1.98 ,0,Retail,3554.00,3032.27,2,98%,3,,,,,,,,,,,,,,544,350,
